date,action,confidence,veto,target,return
2018-05-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-12 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-14 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-15 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-18 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-19 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-05-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-05-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-05-31 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-12 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-14 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-15 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-18 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-19 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-06-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-06-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-06-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-11 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-12 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-13 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-14 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-15 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-18 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-19 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-07-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-07-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-30 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-07-31 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-01 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-02 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-03 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-04 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-05 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-06 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-07 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-08 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-09 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-10 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-11 00:00:00+00:00,SHORT,0.8064993710587497,,-1,0.030970993564233627
2018-08-12 00:00:00+00:00,SHORT,0.6268287167698977,,-1,0.19676130724850333
2018-08-13 00:00:00+00:00,NO_TRADE,0.0,['btc_conflict'],-1,0.0
2018-08-14 00:00:00+00:00,NO_TRADE,0.33900064631141763,Below 0.50,1,0.0
2018-08-15 00:00:00+00:00,NO_TRADE,0.10322277510266865,Below 0.50,1,0.0
2018-08-16 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-08-17 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-18 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-19 00:00:00+00:00,NO_TRADE,0.1512118094304239,Below 0.50,-1,0.0
2018-08-20 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
2018-08-21 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-22 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-23 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-24 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-25 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-26 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-08-27 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,1,0.0
2018-08-28 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,0,0.0
2018-08-29 00:00:00+00:00,NO_TRADE,0.0,Non-tradeable,-1,0.0
