block_date,deposit_tx_count,deposit_withdrawal_ratio,exchange_volume_ratio,mega_whale_ratio,mega_whale_tx_count,mega_whale_volume_eth,net_flow_ma7,non_exchange_ratio,non_exchange_tx_count,non_exchange_volume_eth,std_whale_tx_size_eth,whale_exchange_deposits_eth,whale_exchange_withdrawals_eth,whale_net_exchange_flow_eth,whale_tx_count,whale_volume_eth,withdrawal_tx_count
2023-04-15 00:00:00+00:00,8,0.7717,0.3395,1.0,67,251073.5426,30456.1522,0.6605,49,165830.3406,4103.79325,37130.4049,48112.7971,10982.3922,67,251073.5426,10
2023-04-16 00:00:00+00:00,7,0.7989,0.2987,1.0,73,390988.674,41917.8679,0.7013,55,274208.6513,8320.341545,51862.8922,64917.1304,13054.2381,73,390988.674,11
2023-04-17 00:00:00+00:00,11,1.4679,0.2594,1.0,83,495811.7639,34061.6456,0.7406,68,367210.8279,5919.215926,76491.7274,52109.2085,-24382.5189,83,495811.7639,4
2023-04-18 00:00:00+00:00,7,0.4619,0.344,1.0,86,571199.5477,46205.7711,0.656,64,374681.8486,6504.895102,62094.867,134422.8321,72327.9651,86,571199.5477,15
2023-04-19 00:00:00+00:00,10,1.2004,0.6599,1.0,140,1129426.5093,-1515.6196,0.3401,47,384076.3648,18271.327746,406614.4239,338735.7206,-67878.7033,140,1129426.5093,83
2023-04-20 00:00:00+00:00,21,1.8924,0.2946,1.0,113,956729.4875,-15178.823,0.7054,82,674864.9955,7277.018191,184416.1076,97448.3844,-86967.7232,113,956729.4875,10
2023-04-21 00:00:00+00:00,15,1.5425,0.264,1.0,112,948984.5226,-19473.9627,0.736,88,698479.9874,8384.438504,151978.962,98525.5731,-53453.3889,112,948984.5226,9
2023-04-22 00:00:00+00:00,11,1.6083,0.3094,1.0,64,334819.1166,-24493.9569,0.6906,41,231241.012,4770.162969,63867.8358,39710.2689,-24157.5669,64,334819.1166,12
2023-04-23 00:00:00+00:00,13,2.4461,0.4526,1.0,55,389305.9055,-36920.8466,0.5474,36,213116.4389,10819.119456,125061.7284,51127.7382,-73933.9902,55,389305.9055,6
2023-04-24 00:00:00+00:00,11,1.0091,0.3252,1.0,75,487818.1108,-33540.3206,0.6748,58,329188.8822,6033.793285,79674.0326,78955.196,-718.8366,75,487818.1108,6
2023-04-25 00:00:00+00:00,15,9.5395,0.3841,1.0,93,545457.7455,-68125.7915,0.6159,72,335926.0781,7554.257085,189650.9993,19880.6681,-169770.3313,93,545457.7455,6
2023-04-26 00:00:00+00:00,13,1.7248,0.3565,1.0,99,747169.2701,-68549.8264,0.6435,75,480825.8505,9756.793142,168595.1835,97748.2361,-70846.9474,99,747169.2701,11
2023-04-27 00:00:00+00:00,18,2.4842,0.4197,1.0,82,778058.3177,-75999.6098,0.5803,56,451478.9365,12501.915544,232847.7942,93731.5871,-139116.2071,82,778058.3177,8
2023-04-28 00:00:00+00:00,11,2.616,0.4394,1.0,73,485498.3943,-81982.3792,0.5606,50,272175.8758,6412.510955,154327.6467,58994.8718,-95332.7749,73,485498.3943,12
2023-04-29 00:00:00+00:00,10,0.8374,0.3489,1.0,54,239695.4757,-77474.3304,0.6511,37,156077.1742,5238.256152,38109.7635,45508.5379,7398.7744,54,239695.4757,7
2023-04-30 00:00:00+00:00,14,1.6019,0.4857,1.0,59,282103.5752,-71439.9867,0.5143,38,145089.6176,6596.434464,84353.7709,52660.1868,-31693.5841,59,282103.5752,7
2023-05-01 00:00:00+00:00,19,11.2866,0.6093,1.0,92,1651024.6418,-191654.112,0.3907,64,645056.9433,61231.562318,924092.706,81874.9925,-842217.7135,92,1651024.6418,9
2023-05-02 00:00:00+00:00,11,3.3625,0.1988,1.0,94,563115.615,-176063.3076,0.8012,76,451149.3793,6321.030778,86300.4682,25665.7675,-60634.7008,94,563115.615,7
2023-05-03 00:00:00+00:00,9,0.7266,0.222,1.0,95,452911.9864,-163667.9554,0.778,79,352358.9662,5279.227952,42316.2511,58236.7691,15920.5179,95,452911.9864,7
2023-05-04 00:00:00+00:00,11,1.7171,0.3919,1.0,81,673081.7244,-153738.2519,0.6081,60,409323.385,15726.490043,166683.3108,97075.0286,-69608.2822,81,673081.7244,10
2023-05-05 00:00:00+00:00,32,0.6588,0.6827,1.0,125,740613.6061,-125261.244,0.3173,61,234976.3215,15342.184262,200815.5021,304821.7825,104006.2804,125,740613.6061,32
